type,GEOID,racial_majority,week,week_date,filings_2020,filings_avg,last_updated
Census Tract,29095007600,Black,19,2020-05-03,0,0.5,2022-02-26
Census Tract,29095007600,Black,20,2020-05-10,1,1,2022-02-26
Census Tract,29095007600,Black,21,2020-05-17,1,1,2022-02-26
Census Tract,29095007600,Black,22,2020-05-24,2,0.75,2022-02-26
Census Tract,29095007600,Black,23,2020-05-31,0,0.75,2022-02-26
Census Tract,29095007600,Black,24,2020-06-07,0,2,2022-02-26
Census Tract,29095007600,Black,25,2020-06-14,0,1,2022-02-26
Census Tract,29095007600,Black,26,2020-06-21,1,2,2022-02-26
Census Tract,29095007600,Black,27,2020-06-28,0,1.25,2022-02-26
Census Tract,29095007600,Black,28,2020-07-05,0,1.25,2022-02-26
Census Tract,29095007600,Black,29,2020-07-12,0,1.75,2022-02-26
Census Tract,29095007600,Black,30,2020-07-19,1,1.5,2022-02-26
Census Tract,29095007600,Black,31,2020-07-26,0,1.25,2022-02-26
Census Tract,29095007600,Black,32,2020-08-02,0,2.5,2022-02-26
Census Tract,29095007600,Black,33,2020-08-09,0,1.25,2022-02-26
Census Tract,29095007600,Black,34,2020-08-16,1,1.75,2022-02-26
Census Tract,29095007600,Black,35,2020-08-23,0,0.5,2022-02-26
Census Tract,29095007600,Black,36,2020-08-30,0,0.75,2022-02-26
Census Tract,29095007600,Black,37,2020-09-06,1,2.5,2022-02-26
Census Tract,29095007600,Black,38,2020-09-13,1,1.25,2022-02-26
Census Tract,29095007600,Black,39,2020-09-20,0,1.75,2022-02-26
Census Tract,29095007600,Black,40,2020-09-27,0,1.5,2022-02-26
Census Tract,29095007600,Black,41,2020-10-04,1,0.75,2022-02-26
Census Tract,29095007600,Black,42,2020-10-11,0,0.25,2022-02-26
Census Tract,29095007600,Black,43,2020-10-18,0,2.25,2022-02-26
Census Tract,29095007600,Black,44,2020-10-25,0,1,2022-02-26
Census Tract,29095007600,Black,45,2020-11-01,0,1,2022-02-26
Census Tract,29095007600,Black,46,2020-11-08,1,0.75,2022-02-26
Census Tract,29095007600,Black,47,2020-11-15,0,0.25,2022-02-26
Census Tract,29095007600,Black,48,2020-11-22,0,0.75,2022-02-26
Census Tract,29095007600,Black,49,2020-11-29,0,1.25,2022-02-26
Census Tract,29095007600,Black,50,2020-12-06,0,2,2022-02-26
Census Tract,29095007600,Black,51,2020-12-13,1,1,2022-02-26
Census Tract,29095007600,Black,52,2020-12-20,0,0.75,2022-02-26
Census Tract,29095007600,Black,53,2020-12-27,0,1,2022-02-26
Census Tract,29095007600,Black,54,2021-01-03,1,0.75,2022-02-26
Census Tract,29095007600,Black,55,2021-01-10,0,0.5,2022-02-26
Census Tract,29095007600,Black,56,2021-01-17,1,1.25,2022-02-26
Census Tract,29095007600,Black,57,2021-01-24,0,1,2022-02-26
Census Tract,29095007600,Black,58,2021-01-31,1,0.75,2022-02-26
Census Tract,29095007600,Black,59,2021-02-07,0,1.5,2022-02-26
Census Tract,29095007600,Black,60,2021-02-14,0,0,2022-02-26
Census Tract,29095007600,Black,61,2021-02-21,0,0.25,2022-02-26
Census Tract,29095007600,Black,62,2021-02-28,0,0.25,2022-02-26
Census Tract,29095007600,Black,63,2021-03-07,0,0.5,2022-02-26
Census Tract,29095007600,Black,64,2021-03-14,0,0.5,2022-02-26
Census Tract,29095007600,Black,65,2021-03-21,1,1,2022-02-26
Census Tract,29095007600,Black,66,2021-03-28,0,0.25,2022-02-26
Census Tract,29095007600,Black,67,2021-04-04,0,0.25,2022-02-26
Census Tract,29095007600,Black,68,2021-04-11,0,0.75,2022-02-26
Census Tract,29095007600,Black,69,2021-04-18,0,1.25,2022-02-26
Census Tract,29095007600,Black,70,2021-04-25,0,0.5,2022-02-26
Census Tract,29095007600,Black,71,2021-05-02,0,0.75,2022-02-26
Census Tract,29095007600,Black,72,2021-05-09,0,1,2022-02-26
Census Tract,29095007600,Black,73,2021-05-16,0,1,2022-02-26
Census Tract,29095007600,Black,74,2021-05-23,0,0.5,2022-02-26
Census Tract,29095007600,Black,75,2021-05-30,1,1,2022-02-26
Census Tract,29095007600,Black,76,2021-06-06,0,1.5,2022-02-26
Census Tract,29095007600,Black,77,2021-06-13,0,1.25,2022-02-26
Census Tract,29095007600,Black,78,2021-06-20,0,2,2022-02-26
Census Tract,29095007600,Black,79,2021-06-27,0,1.5,2022-02-26
Census Tract,29095007600,Black,80,2021-07-04,0,0.75,2022-02-26
Census Tract,29095007600,Black,81,2021-07-11,0,2.25,2022-02-26
Census Tract,29095007600,Black,82,2021-07-18,0,1.5,2022-02-26
Census Tract,29095007600,Black,83,2021-07-25,0,1,2022-02-26
Census Tract,29095007600,Black,84,2021-08-01,1,2.5,2022-02-26
Census Tract,29095007600,Black,85,2021-08-08,0,1.5,2022-02-26
Census Tract,29095007600,Black,86,2021-08-15,2,1.75,2022-02-26
Census Tract,29095007600,Black,87,2021-08-22,0,0.5,2022-02-26
Census Tract,29095007600,Black,88,2021-08-29,0,0.25,2022-02-26
Census Tract,29095007600,Black,89,2021-09-05,0,2.75,2022-02-26
Census Tract,29095007600,Black,90,2021-09-12,0,1.25,2022-02-26
Census Tract,29095007600,Black,91,2021-09-19,1,1.75,2022-02-26
Census Tract,29095007600,Black,92,2021-09-26,0,1.5,2022-02-26
Census Tract,29095007600,Black,93,2021-10-03,1,1,2022-02-26
Census Tract,29095007600,Black,94,2021-10-10,2,0.25,2022-02-26
Census Tract,29095007600,Black,95,2021-10-17,1,2,2022-02-26
Census Tract,29095007600,Black,96,2021-10-24,0,0.75,2022-02-26
Census Tract,29095007600,Black,97,2021-10-31,3,1.25,2022-02-26
Census Tract,29095007600,Black,98,2021-11-07,2,1,2022-02-26
Census Tract,29095007600,Black,99,2021-11-14,0,0.25,2022-02-26
Census Tract,29095007600,Black,100,2021-11-21,1,0.75,2022-02-26
Census Tract,29095007600,Black,101,2021-11-28,1,1,2022-02-26
Census Tract,29095007600,Black,102,2021-12-05,0,2,2022-02-26
Census Tract,29095007600,Black,103,2021-12-12,2,1.25,2022-02-26
Census Tract,29095007600,Black,104,2021-12-19,0,0.5,2022-02-26
Census Tract,29095007600,Black,105,2021-12-26,0,1.25,2022-02-26
Census Tract,29095007600,Black,106,2022-01-02,0,0.75,2022-02-26
Census Tract,29095007600,Black,107,2022-01-09,0,0.25,2022-02-26
Census Tract,29095007600,Black,108,2022-01-16,3,1.5,2022-02-26
Census Tract,29095007600,Black,109,2022-01-23,0,1,2022-02-26
Census Tract,29095007600,Black,110,2022-01-30,0,0.75,2022-02-26
Census Tract,29095007600,Black,111,2022-02-06,1,0.5,2022-02-26
Census Tract,29095007600,Black,112,2022-02-13,0,1,2022-02-26
Census Tract,29095007600,Black,113,2022-02-20,0,0.25,2022-02-26
Census Tract,29095007700,Black,1,2019-12-29,2,0,2022-02-26
Census Tract,29095007700,Black,2,2020-01-05,0,0.5,2022-02-26
Census Tract,29095007700,Black,3,2020-01-12,0,0.75,2022-02-26
Census Tract,29095007700,Black,4,2020-01-19,3,0.5,2022-02-26
Census Tract,29095007700,Black,5,2020-01-26,0,1.75,2022-02-26
Census Tract,29095007700,Black,6,2020-02-02,0,1,2022-02-26
Census Tract,29095007700,Black,7,2020-02-09,2,1.25,2022-02-26
Census Tract,29095007700,Black,8,2020-02-16,0,0.75,2022-02-26
Census Tract,29095007700,Black,9,2020-02-23,1,0.75,2022-02-26
Census Tract,29095007700,Black,10,2020-03-01,0,1,2022-02-26
Census Tract,29095007700,Black,11,2020-03-08,4,1.5,2022-02-26
Census Tract,29095007700,Black,12,2020-03-15,1,2,2022-02-26
Census Tract,29095007700,Black,13,2020-03-22,2,0.75,2022-02-26
Census Tract,29095007700,Black,14,2020-03-29,0,0.5,2022-02-26
Census Tract,29095007700,Black,15,2020-04-05,0,0.75,2022-02-26
Census Tract,29095007700,Black,16,2020-04-12,0,4,2022-02-26
Census Tract,29095007700,Black,17,2020-04-19,0,0.5,2022-02-26
Census Tract,29095007700,Black,18,2020-04-26,0,0.5,2022-02-26
Census Tract,29095007700,Black,19,2020-05-03,0,0.5,2022-02-26
Census Tract,29095007700,Black,20,2020-05-10,0,0.75,2022-02-26
Census Tract,29095007700,Black,21,2020-05-17,0,2.25,2022-02-26
Census Tract,29095007700,Black,22,2020-05-24,0,1,2022-02-26
Census Tract,29095007700,Black,23,2020-05-31,0,1.5,2022-02-26
Census Tract,29095007700,Black,24,2020-06-07,1,0.75,2022-02-26
Census Tract,29095007700,Black,25,2020-06-14,0,1.25,2022-02-26
Census Tract,29095007700,Black,26,2020-06-21,0,2.25,2022-02-26
Census Tract,29095007700,Black,27,2020-06-28,0,0.75,2022-02-26
Census Tract,29095007700,Black,28,2020-07-05,1,0.75,2022-02-26
Census Tract,29095007700,Black,29,2020-07-12,0,0.25,2022-02-26
Census Tract,29095007700,Black,30,2020-07-19,1,2.25,2022-02-26
Census Tract,29095007700,Black,31,2020-07-26,0,0.5,2022-02-26
Census Tract,29095007700,Black,32,2020-08-02,2,1.25,2022-02-26
Census Tract,29095007700,Black,33,2020-08-09,0,1.25,2022-02-26
Census Tract,29095007700,Black,34,2020-08-16,0,1,2022-02-26
Census Tract,29095007700,Black,35,2020-08-23,0,1,2022-02-26
Census Tract,29095007700,Black,36,2020-08-30,4,2,2022-02-26
Census Tract,29095007700,Black,37,2020-09-06,1,0.25,2022-02-26
Census Tract,29095007700,Black,38,2020-09-13,0,2.75,2022-02-26
Census Tract,29095007700,Black,39,2020-09-20,0,2,2022-02-26
Census Tract,29095007700,Black,40,2020-09-27,3,0.75,2022-02-26
Census Tract,29095007700,Black,41,2020-10-04,0,0.5,2022-02-26
Census Tract,29095007700,Black,42,2020-10-11,4,0.75,2022-02-26
Census Tract,29095007700,Black,43,2020-10-18,0,1,2022-02-26
Census Tract,29095007700,Black,44,2020-10-25,2,0.25,2022-02-26
Census Tract,29095007700,Black,45,2020-11-01,0,1,2022-02-26
Census Tract,29095007700,Black,46,2020-11-08,1,0.25,2022-02-26
Census Tract,29095007700,Black,47,2020-11-15,0,1.5,2022-02-26
Census Tract,29095007700,Black,48,2020-11-22,0,0.25,2022-02-26
Census Tract,29095007700,Black,49,2020-11-29,1,0.5,2022-02-26
Census Tract,29095007700,Black,50,2020-12-06,0,1,2022-02-26
Census Tract,29095007700,Black,51,2020-12-13,1,0.5,2022-02-26
Census Tract,29095007700,Black,52,2020-12-20,1,1.5,2022-02-26
Census Tract,29095007700,Black,53,2020-12-27,0,0.75,2022-02-26
Census Tract,29095007700,Black,54,2021-01-03,0,0.25,2022-02-26
Census Tract,29095007700,Black,55,2021-01-10,3,0.75,2022-02-26
Census Tract,29095007700,Black,56,2021-01-17,0,0.25,2022-02-26
Census Tract,29095007700,Black,57,2021-01-24,0,2,2022-02-26
Census Tract,29095007700,Black,58,2021-01-31,0,1.25,2022-02-26
Census Tract,29095007700,Black,59,2021-02-07,1,1,2022-02-26
Census Tract,29095007700,Black,60,2021-02-14,0,0.75,2022-02-26
Census Tract,29095007700,Black,61,2021-02-21,1,1,2022-02-26
Census Tract,29095007700,Black,62,2021-02-28,4,1,2022-02-26
Census Tract,29095007700,Black,63,2021-03-07,2,1,2022-02-26
Census Tract,29095007700,Black,64,2021-03-14,0,2,2022-02-26
Census Tract,29095007700,Black,65,2021-03-21,1,1,2022-02-26
Census Tract,29095007700,Black,66,2021-03-28,0,0.75,2022-02-26
Census Tract,29095007700,Black,67,2021-04-04,1,0.5,2022-02-26
Census Tract,29095007700,Black,68,2021-04-11,0,4,2022-02-26
Census Tract,29095007700,Black,69,2021-04-18,0,0.75,2022-02-26
Census Tract,29095007700,Black,70,2021-04-25,0,0.25,2022-02-26
Census Tract,29095007700,Black,71,2021-05-02,2,0.75,2022-02-26
Census Tract,29095007700,Black,72,2021-05-09,1,0.75,2022-02-26
Census Tract,29095007700,Black,73,2021-05-16,0,2.25,2022-02-26
Census Tract,29095007700,Black,74,2021-05-23,0,1,2022-02-26
Census Tract,29095007700,Black,75,2021-05-30,1,1.5,2022-02-26
Census Tract,29095007700,Black,76,2021-06-06,1,0.5,2022-02-26
Census Tract,29095007700,Black,77,2021-06-13,4,1,2022-02-26
Census Tract,29095007700,Black,78,2021-06-20,0,2.25,2022-02-26
Census Tract,29095007700,Black,79,2021-06-27,0,1.25,2022-02-26
Census Tract,29095007700,Black,80,2021-07-04,4,0.5,2022-02-26
Census Tract,29095007700,Black,81,2021-07-11,0,0.5,2022-02-26
Census Tract,29095007700,Black,82,2021-07-18,0,2,2022-02-26
Census Tract,29095007700,Black,83,2021-07-25,0,0.75,2022-02-26
Census Tract,29095007700,Black,84,2021-08-01,0,1,2022-02-26
Census Tract,29095007700,Black,85,2021-08-08,1,1,2022-02-26
Census Tract,29095007700,Black,86,2021-08-15,0,1.5,2022-02-26
Census Tract,29095007700,Black,87,2021-08-22,0,0.75,2022-02-26
Census Tract,29095007700,Black,88,2021-08-29,0,2,2022-02-26
Census Tract,29095007700,Black,89,2021-09-05,4,0.25,2022-02-26
Census Tract,29095007700,Black,90,2021-09-12,0,2.75,2022-02-26
Census Tract,29095007700,Black,91,2021-09-19,0,1.75,2022-02-26
Census Tract,29095007700,Black,92,2021-09-26,0,1.25,2022-02-26
Census Tract,29095007700,Black,93,2021-10-03,3,0.5,2022-02-26
Census Tract,29095007700,Black,94,2021-10-10,2,0.75,2022-02-26
Census Tract,29095007700,Black,95,2021-10-17,1,0.75,2022-02-26
Census Tract,29095007700,Black,96,2021-10-24,2,0.5,2022-02-26
Census Tract,29095007700,Black,97,2021-10-31,0,1,2022-02-26
Census Tract,29095007700,Black,98,2021-11-07,1,0.25,2022-02-26
Census Tract,29095007700,Black,99,2021-11-14,1,1.25,2022-02-26
Census Tract,29095007700,Black,100,2021-11-21,0,0.5,2022-02-26
Census Tract,29095007700,Black,101,2021-11-28,0,0.5,2022-02-26
Census Tract,29095007700,Black,102,2021-12-05,3,1,2022-02-26
Census Tract,29095007700,Black,103,2021-12-12,0,0.5,2022-02-26
Census Tract,29095007700,Black,104,2021-12-19,0,1.5,2022-02-26
Census Tract,29095007700,Black,105,2021-12-26,1,0.75,2022-02-26
Census Tract,29095007700,Black,106,2022-01-02,0,0.25,2022-02-26
Census Tract,29095007700,Black,107,2022-01-09,1,0.75,2022-02-26
Census Tract,29095007700,Black,108,2022-01-16,0,0.25,2022-02-26
Census Tract,29095007700,Black,109,2022-01-23,0,1,2022-02-26
Census Tract,29095007700,Black,110,2022-01-30,2,2,2022-02-26
Census Tract,29095007700,Black,111,2022-02-06,0,1,2022-02-26
Census Tract,29095007700,Black,112,2022-02-13,0,1,2022-02-26
Census Tract,29095007700,Black,113,2022-02-20,0,1,2022-02-26
Census Tract,29095007802,Black,1,2019-12-29,0,0.25,2022-02-26
Census Tract,29095007802,Black,2,2020-01-05,3,0.75,2022-02-26
Census Tract,29095007802,Black,3,2020-01-12,1,0.25,2022-02-26
Census Tract,29095007802,Black,4,2020-01-19,1,0.25,2022-02-26
Census Tract,29095007802,Black,5,2020-01-26,0,0.25,2022-02-26
Census Tract,29095007802,Black,6,2020-02-02,0,0.5,2022-02-26
Census Tract,29095007802,Black,7,2020-02-09,1,0.75,2022-02-26
Census Tract,29095007802,Black,8,2020-02-16,0,0.75,2022-02-26
Census Tract,29095007802,Black,9,2020-02-23,0,2.25,2022-02-26
Census Tract,29095007802,Black,10,2020-03-01,1,1.5,2022-02-26
Census Tract,29095007802,Black,11,2020-03-08,0,0.75,2022-02-26
Census Tract,29095007802,Black,12,2020-03-15,0,0.5,2022-02-26
Census Tract,29095007802,Black,13,2020-03-22,0,0.25,2022-02-26
Census Tract,29095007802,Black,14,2020-03-29,0,0.25,2022-02-26
Census Tract,29095007802,Black,15,2020-04-05,0,0.75,2022-02-26
Census Tract,29095007802,Black,16,2020-04-12,0,1.25,2022-02-26
Census Tract,29095007802,Black,17,2020-04-19,1,0.25,2022-02-26
Census Tract,29095007802,Black,18,2020-04-26,0,0.5,2022-02-26
Census Tract,29095007802,Black,19,2020-05-03,0,0.5,2022-02-26
Census Tract,29095007802,Black,20,2020-05-10,0,0.5,2022-02-26
Census Tract,29095007802,Black,21,2020-05-17,0,2,2022-02-26
Census Tract,29095007802,Black,22,2020-05-24,0,0.75,2022-02-26
Census Tract,29095007802,Black,23,2020-05-31,1,0.25,2022-02-26
Census Tract,29095007802,Black,24,2020-06-07,3,1,2022-02-26
Census Tract,29095007802,Black,25,2020-06-14,1,1.5,2022-02-26
Census Tract,29095007802,Black,26,2020-06-21,0,0.75,2022-02-26
Census Tract,29095007802,Black,27,2020-06-28,0,0.75,2022-02-26
Census Tract,29095007802,Black,28,2020-07-05,0,1.25,2022-02-26
Census Tract,29095007802,Black,29,2020-07-12,0,1,2022-02-26
Census Tract,29095007802,Black,30,2020-07-19,3,1.5,2022-02-26
Census Tract,29095007802,Black,31,2020-07-26,1,1.25,2022-02-26
Census Tract,29095007802,Black,32,2020-08-02,0,0.75,2022-02-26
Census Tract,29095007802,Black,33,2020-08-09,0,1.25,2022-02-26
Census Tract,29095007802,Black,34,2020-08-16,1,1.75,2022-02-26
Census Tract,29095007802,Black,35,2020-08-23,1,0.75,2022-02-26
Census Tract,29095007802,Black,36,2020-08-30,0,1,2022-02-26
Census Tract,29095007802,Black,37,2020-09-06,0,1.5,2022-02-26
Census Tract,29095007802,Black,38,2020-09-13,0,1.5,2022-02-26
Census Tract,29095007802,Black,39,2020-09-20,0,0.75,2022-02-26
Census Tract,29095007802,Black,40,2020-09-27,0,1.25,2022-02-26
Census Tract,29095007802,Black,41,2020-10-04,0,0.5,2022-02-26
Census Tract,29095007802,Black,42,2020-10-11,0,1,2022-02-26
Census Tract,29095007802,Black,43,2020-10-18,0,1.25,2022-02-26
Census Tract,29095007802,Black,44,2020-10-25,0,0.25,2022-02-26
Census Tract,29095007802,Black,45,2020-11-01,1,0.75,2022-02-26
Census Tract,29095007802,Black,46,2020-11-08,0,0.75,2022-02-26
Census Tract,29095007802,Black,47,2020-11-15,0,1.75,2022-02-26
Census Tract,29095007802,Black,48,2020-11-22,0,0.75,2022-02-26
Census Tract,29095007802,Black,49,2020-11-29,0,0.75,2022-02-26
Census Tract,29095007802,Black,50,2020-12-06,0,0.75,2022-02-26
Census Tract,29095007802,Black,51,2020-12-13,0,1,2022-02-26
Census Tract,29095007802,Black,52,2020-12-20,0,1,2022-02-26
Census Tract,29095007802,Black,53,2020-12-27,0,0.5,2022-02-26
Census Tract,29095007802,Black,54,2021-01-03,0,0.75,2022-02-26
Census Tract,29095007802,Black,55,2021-01-10,0,0.25,2022-02-26
Census Tract,29095007802,Black,56,2021-01-17,1,0.25,2022-02-26
Census Tract,29095007802,Black,57,2021-01-24,0,0.25,2022-02-26
Census Tract,29095007802,Black,58,2021-01-31,0,0.5,2022-02-26
Census Tract,29095007802,Black,59,2021-02-07,0,0.75,2022-02-26
Census Tract,29095007802,Black,60,2021-02-14,0,0.5,2022-02-26
Census Tract,29095007802,Black,61,2021-02-21,0,2.25,2022-02-26
Census Tract,29095007802,Black,62,2021-02-28,0,1.5,2022-02-26
Census Tract,29095007802,Black,63,2021-03-07,1,1,2022-02-26
Census Tract,29095007802,Black,64,2021-03-14,0,0.5,2022-02-26
Census Tract,29095007802,Black,65,2021-03-21,0,0.25,2022-02-26
Census Tract,29095007802,Black,66,2021-03-28,1,0.25,2022-02-26
Census Tract,29095007802,Black,67,2021-04-04,0,0.5,2022-02-26
Census Tract,29095007802,Black,68,2021-04-11,0,1.25,2022-02-26
Census Tract,29095007802,Black,69,2021-04-18,0,0.5,2022-02-26
Census Tract,29095007802,Black,70,2021-04-25,0,0.5,2022-02-26
Census Tract,29095007802,Black,71,2021-05-02,1,0.5,2022-02-26
Census Tract,29095007802,Black,72,2021-05-09,0,0.25,2022-02-26
Census Tract,29095007802,Black,73,2021-05-16,0,1.75,2022-02-26
Census Tract,29095007802,Black,74,2021-05-23,0,1.25,2022-02-26
Census Tract,29095007802,Black,75,2021-05-30,0,0.25,2022-02-26
Census Tract,29095007802,Black,76,2021-06-06,0,1,2022-02-26
Census Tract,29095007802,Black,77,2021-06-13,0,1.25,2022-02-26
Census Tract,29095007802,Black,78,2021-06-20,0,0.75,2022-02-26
Census Tract,29095007802,Black,79,2021-06-27,0,1,2022-02-26
Census Tract,29095007802,Black,80,2021-07-04,1,1.25,2022-02-26
Census Tract,29095007802,Black,81,2021-07-11,0,1,2022-02-26
Census Tract,29095007802,Black,82,2021-07-18,0,1.25,2022-02-26
Census Tract,29095007802,Black,83,2021-07-25,1,1.5,2022-02-26
Census Tract,29095007802,Black,84,2021-08-01,0,0.75,2022-02-26
Census Tract,29095007802,Black,85,2021-08-08,0,1.25,2022-02-26
Census Tract,29095007802,Black,86,2021-08-15,0,0.75,2022-02-26
Census Tract,29095007802,Black,87,2021-08-22,0,1.5,2022-02-26
Census Tract,29095007802,Black,88,2021-08-29,1,1.25,2022-02-26
Census Tract,29095007802,Black,89,2021-09-05,0,1.25,2022-02-26
Census Tract,29095007802,Black,90,2021-09-12,0,1.25,2022-02-26
Census Tract,29095007802,Black,91,2021-09-19,0,1,2022-02-26
Census Tract,29095007802,Black,92,2021-09-26,0,1.25,2022-02-26
Census Tract,29095007802,Black,93,2021-10-03,0,0.5,2022-02-26
Census Tract,29095007802,Black,94,2021-10-10,0,1.25,2022-02-26
Census Tract,29095007802,Black,95,2021-10-17,1,1.25,2022-02-26
Census Tract,29095007802,Black,96,2021-10-24,0,0.25,2022-02-26
Census Tract,29095007802,Black,97,2021-10-31,1,0.75,2022-02-26
Census Tract,29095007802,Black,98,2021-11-07,0,0.75,2022-02-26
Census Tract,29095007802,Black,99,2021-11-14,0,1,2022-02-26
Census Tract,29095007802,Black,100,2021-11-21,0,1.25,2022-02-26
Census Tract,29095007802,Black,101,2021-11-28,1,0.75,2022-02-26
Census Tract,29095007802,Black,102,2021-12-05,0,1,2022-02-26
Census Tract,29095007802,Black,103,2021-12-12,1,1,2022-02-26
Census Tract,29095007802,Black,104,2021-12-19,0,0.75,2022-02-26
Census Tract,29095007802,Black,105,2021-12-26,0,0.5,2022-02-26
Census Tract,29095007802,Black,106,2022-01-02,0,0.5,2022-02-26
Census Tract,29095007802,Black,107,2022-01-09,0,0.75,2022-02-26
Census Tract,29095007802,Black,108,2022-01-16,1,0,2022-02-26
Census Tract,29095007802,Black,109,2022-01-23,0,0.25,2022-02-26
Census Tract,29095007802,Black,110,2022-01-30,1,0.75,2022-02-26
Census Tract,29095007802,Black,111,2022-02-06,0,0.5,2022-02-26
Census Tract,29095007802,Black,112,2022-02-13,0,0.5,2022-02-26
Census Tract,29095007802,Black,113,2022-02-20,0,2,2022-02-26
Census Tract,29095007900,Black,1,2019-12-29,0,1,2022-02-26
Census Tract,29095007900,Black,2,2020-01-05,1,1.5,2022-02-26
Census Tract,29095007900,Black,3,2020-01-12,11,2,2022-02-26
Census Tract,29095007900,Black,4,2020-01-19,0,1.75,2022-02-26
Census Tract,29095007900,Black,5,2020-01-26,1,1.25,2022-02-26
Census Tract,29095007900,Black,6,2020-02-02,0,1.75,2022-02-26
Census Tract,29095007900,Black,7,2020-02-09,0,1.75,2022-02-26
Census Tract,29095007900,Black,8,2020-02-16,0,1,2022-02-26
Census Tract,29095007900,Black,9,2020-02-23,0,2.25,2022-02-26
Census Tract,29095007900,Black,10,2020-03-01,0,2.5,2022-02-26
Census Tract,29095007900,Black,11,2020-03-08,1,1.5,2022-02-26
Census Tract,29095007900,Black,12,2020-03-15,0,0.5,2022-02-26
Census Tract,29095007900,Black,13,2020-03-22,0,0.5,2022-02-26
Census Tract,29095007900,Black,14,2020-03-29,0,1,2022-02-26
Census Tract,29095007900,Black,15,2020-04-05,0,1.25,2022-02-26
Census Tract,29095007900,Black,16,2020-04-12,0,1,2022-02-26
Census Tract,29095007900,Black,17,2020-04-19,0,2.5,2022-02-26
Census Tract,29095007900,Black,18,2020-04-26,2,0.75,2022-02-26
Census Tract,29095007900,Black,19,2020-05-03,0,1.5,2022-02-26
Census Tract,29095007900,Black,20,2020-05-10,0,0.5,2022-02-26
Census Tract,29095007900,Black,21,2020-05-17,0,1.75,2022-02-26
Census Tract,29095007900,Black,22,2020-05-24,0,1.75,2022-02-26
Census Tract,29095007900,Black,23,2020-05-31,0,1.25,2022-02-26
Census Tract,29095007900,Black,24,2020-06-07,2,1.5,2022-02-26
Census Tract,29095007900,Black,25,2020-06-14,0,1.5,2022-02-26
Census Tract,29095007900,Black,26,2020-06-21,1,1.5,2022-02-26
Census Tract,29095007900,Black,27,2020-06-28,0,1.25,2022-02-26
Census Tract,29095007900,Black,28,2020-07-05,1,1.5,2022-02-26
Census Tract,29095007900,Black,29,2020-07-12,0,2.25,2022-02-26
Census Tract,29095007900,Black,30,2020-07-19,1,1.25,2022-02-26
Census Tract,29095007900,Black,31,2020-07-26,0,1.75,2022-02-26
Census Tract,29095007900,Black,32,2020-08-02,4,2,2022-02-26
Census Tract,29095007900,Black,33,2020-08-09,0,2.5,2022-02-26
Census Tract,29095007900,Black,34,2020-08-16,1,2.5,2022-02-26
Census Tract,29095007900,Black,35,2020-08-23,0,2,2022-02-26
Census Tract,29095007900,Black,36,2020-08-30,0,1,2022-02-26
Census Tract,29095007900,Black,37,2020-09-06,2,4,2022-02-26
Census Tract,29095007900,Black,38,2020-09-13,0,0.75,2022-02-26
Census Tract,29095007900,Black,39,2020-09-20,0,1,2022-02-26
Census Tract,29095007900,Black,40,2020-09-27,0,1.5,2022-02-26
Census Tract,29095007900,Black,41,2020-10-04,0,2.75,2022-02-26
Census Tract,29095007900,Black,42,2020-10-11,0,1.75,2022-02-26
Census Tract,29095007900,Black,43,2020-10-18,0,0.25,2022-02-26
Census Tract,29095007900,Black,44,2020-10-25,0,1.5,2022-02-26
Census Tract,29095007900,Black,45,2020-11-01,0,2.5,2022-02-26
Census Tract,29095007900,Black,46,2020-11-08,0,1.25,2022-02-26
Census Tract,29095007900,Black,47,2020-11-15,1,2,2022-02-26
Census Tract,29095007900,Black,48,2020-11-22,1,2.25,2022-02-26
Census Tract,29095007900,Black,49,2020-11-29,0,1.25,2022-02-26
Census Tract,29095007900,Black,50,2020-12-06,5,1.5,2022-02-26
Census Tract,29095007900,Black,51,2020-12-13,0,2,2022-02-26
Census Tract,29095007900,Black,52,2020-12-20,0,0.75,2022-02-26
Census Tract,29095007900,Black,53,2020-12-27,1,0.5,2022-02-26
Census Tract,29095007900,Black,54,2021-01-03,1,1.5,2022-02-26
Census Tract,29095007900,Black,55,2021-01-10,0,2.25,2022-02-26
Census Tract,29095007900,Black,56,2021-01-17,0,1.75,2022-02-26
Census Tract,29095007900,Black,57,2021-01-24,0,1.5,2022-02-26
Census Tract,29095007900,Black,58,2021-01-31,0,1,2022-02-26
Census Tract,29095007900,Black,59,2021-02-07,0,2.5,2022-02-26
Census Tract,29095007900,Black,60,2021-02-14,1,0.75,2022-02-26
Census Tract,29095007900,Black,61,2021-02-21,1,1.5,2022-02-26
Census Tract,29095007900,Black,62,2021-02-28,1,3,2022-02-26
Census Tract,29095007900,Black,63,2021-03-07,1,1.5,2022-02-26
Census Tract,29095007900,Black,64,2021-03-14,0,1,2022-02-26
Census Tract,29095007900,Black,65,2021-03-21,2,0.5,2022-02-26
Census Tract,29095007900,Black,66,2021-03-28,0,1,2022-02-26
Census Tract,29095007900,Black,67,2021-04-04,0,1.25,2022-02-26
Census Tract,29095007900,Black,68,2021-04-11,0,0.75,2022-02-26
Census Tract,29095007900,Black,69,2021-04-18,1,1.75,2022-02-26
Census Tract,29095007900,Black,70,2021-04-25,0,1.75,2022-02-26
Census Tract,29095007900,Black,71,2021-05-02,2,1.5,2022-02-26
Census Tract,29095007900,Black,72,2021-05-09,0,0.5,2022-02-26
